gid,contador,cd_sipra,modalid,nomeproj,fase,capacid,benefic,imov_orige,ccir,sr,sr_n,uf,regiao,mesoregiao,microregia,municipi,geocodigo,tipo_cr,num_cr,data_obt,forma_obt,area_obt,area_pro,geo_exec,num_certif,area_calc,AGORA VAI_,Vertices
4889,117,MF0135000,PA,PA MARTIRES DA RESISTENCIA II,4.00,39.00,38.00,PROJETO CARAIBAS - A. REMANESCENTE 2,9500338669114,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,SANTA MARIA DA BOA VISTA,2612604,POR,26.00,2004/12/23,DOACAO,1196.96200,1196.96200,,,1194.9681,III,
4882,132,MF0206000,PA,PA ESTRELA D'ALVA,3.00,20.00,20.00,SITIO ESTRELA D'ALVA - LT 908 A1,,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,SANTA MARIA DA BOA VISTA,2612604,POR,52.00,2006/12/13,DESAPROPRIACAO,1320.67410,1320.67410,,,1320.6677,III,
158,135,MF0275000,PA,PA DENIS SANTANA,3.00,30.00,30.00,FAZENDA INCHUY,2230930134204,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,SANTA MARIA DA BOA VISTA,2612604,POR,31.00,0000/01/01,DESAPROPRIACAO,1001.12400,1001.12400,,,1001.1321,III,
4962,138,MF0207000,PA,PA BEGARD,3.00,20.00,19.00,SITIO BEGARD - LT 908 B1,,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,SANTA MARIA DA BOA VISTA,2612604,POR,53.00,2006/12/13,DESAPROPRIACAO,1320.01690,1320.01690,,,1320.0101,III,
4708,146,MF0100000,PA,PA ESPERANCA,3.00,26.00,26.00,SITIO PAU FERRO / SITIO CURIMATA,,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,PETROLINA,PETROLINA,2611101,POR,17.00,2004/01/21,DESAPROPRIACAO,959.70000,959.70000,,,979.3772,III,
2208,158,MF0057000,PA,PA RIACHO DO NAVIO,3.00,6.00,6.00,FAZENDA RIACHO,9500335157520,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,ITAPARICA,FLORESTA,2605707,POR,7.00,2001/01/24,CONFISCO,214.91850,214.91850,,,224.7968,II,
4796,169,MF0169000,PA,PA LAGOA DA BARAUNA,3.00,12.00,12.00,FAZENDA LAGOA DA BARAUNA - LT 832 ESPINHEIRO,9500680392175,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,LAGOA GRANDE,2608750,POR,7.00,2006/04/12,ARRECADACAO,608.28160,608.28160,,,607.9855,III,
157,174,MF0287000,PA,PA PROGRESSO,3.00,12.00,12.00,FAZENDA POCO DO ICO - LT 751 / PLANARE LTDA.,,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,SANTA MARIA DA BOA VISTA,2612604,POR,16.00,2010/08/23,DESAPROPRIACAO,669.29620,669.29620,,,700.3461,III,
4659,176,MF0158000,PA,PA MARIA OTILIA,3.00,50.00,50.00,FAZENDA N. S. DAS GRACAS,2240810695402,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,SERTAO DO MOXOTO,INAJA,2607000,POR,32.00,2005/12/09,DESAPROPRIACAO,1700.00000,1700.00000,,,982.7743,II,
,178,MF0279000,PA,PA POÃ?O VERDE II,3.00,16.00,16.00,FAZENDA POCO VERDE,,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,SERTAO DO MOXOTO,INAJA,2607000,OUT,36.00,2008/12/11,DESAPROPRIACAO,,248.44640,MERIDIONAL AGRIMENSURA LTDA,291501000011-58,250.3445,I,
4864,180,MF0083000,PA,PA LAGOA DAS CARAIBAS,4.00,20.00,19.00,LOTE 284 - GLEBA ESPINHEIRO,9500335138576,MF,29,PE,NORDESTE,SAO FRANCISCO PERNAMBUCANO,PETROLINA,LAGOA GRANDE,2608750,POR,21.00,2003/12/05,ARRECADACAO,1177.45950,1177.45950,,,1177.4357,III,
,202,MF0290000,PA,PA CACIMBA DA TORRE GLEBA NORDESTE,0.00,23.00,22.00,FAZENDA CACIMBA DA TORRE GLEBA NORDESTE,,MF,29,BA,NORDESTE,VALE SAO-FRANCISCANO DA BAHIA,JUAZEIRO,CURACA,2909901,,0.00,0000/01/01,,,4373.15440,,,3338.3501,III,
